Sn1,Sn2,Sn3,Sn4,Sn5,Sn6,Sn7,Sn8,Sn9,Sn10,Tt,dloc,ED,overload_loc
-0.000194838,0.00010015,0.000416005,0.000114808,-0.00018039,0.000511568,0.000216085,-7.63e-05,0.000201376,0.000496641,35.87785252,35,2,0
-0.000160614,8.14e-05,0.000340475,9.34e-05,-0.00014873799999999998,0.000419618,0.000177228,-6.27e-05,0.00016519900000000002,0.000407369,30.0,73,7,0
-0.00012639200000000002,6.330000000000001e-05,0.000266546,7.240000000000001e-05,-0.000117376,0.000327517,0.000137566,-5.04e-05,0.000128247,0.000318068,24.12214748,31,5,0
-0.00019475400000000005,0.0001,0.000414997,0.000115339,-0.00017961,0.000511584,0.000216351,-7.6e-05,0.000201304,0.000496326,35.87785252,96,2,0
-0.00018396,9.49e-05,0.0003939180000000001,0.000108328,-0.00017076,0.000483027,0.000203672,-7.269999999999999e-05,0.000189992,0.000469143,34.06736643,35,7,0
-0.000105673,5.14e-05,0.000219533,5.93e-05,-9.79e-05,0.000270853,0.00011351,-4.23e-05,0.000105627,0.000262869,20.48943484,51,4,0
-0.000141824,7.927e-05,0.000274983,8.703999999999998e-05,-0.000133903,0.000372594,0.00015121799999999995,-4.857e-05,0.00015370200000000005,0.0003743653,27.92088309,91,8,0
-0.000210807,0.000108742,0.000450259,0.000125401,-0.000194666,0.000555103,0.000235015,-8.190000000000001e-05,0.000218694,0.000538229,38.66025404,82,7,0
-0.000218452,0.000112989,0.000464042,0.000134078,-0.00019753,0.000575211,0.000243208,-8.62e-05,0.000224383,0.000556124,39.94521895,70,7,0
-0.000194865,0.000100025,0.000415388,0.000115152,-0.000179951,0.000511603,0.00021622,-7.62e-05,0.000201283,0.000496451,35.87785252,76,2,0
-0.000137137,6.850000000000001e-05,0.000288666,7.890000000000001e-05,-0.000126958,0.000356011,0.000150004,-5.39e-05,0.000139697,0.000345562,25.93263357,43,2,0
-9.829299999999999e-05,5.449e-05,0.000193922,5.8607e-05,-9.735e-05,0.00025739999999999997,0.00010453,-3.634e-05,0.000106943,0.00026294430000000003,20.48943484,31,8,0
-0.000117608,5.8e-05,0.000245245,6.759999999999999e-05,-0.000108129,0.00030335700000000003,0.000127507,-4.67e-05,0.000118319,0.000294062,22.56855175,80,3,0
-0.000115497,5.96e-05,0.000248299,6.659999999999999e-05,-0.000108516,0.000302213,0.000127175,-4.59e-05,0.000119287,0.00029440900000000003,22.56855175,1,8,0
